time,price
1707778802,0.5
1707782402,0.315
1707786003,0.365
1707789602,0.365
1707793202,0.365
1707796802,0.31
1707800403,0.315
1707804002,0.315
1707807602,0.315
1707811202,0.32
1707814802,0.4
1707818402,0.335
1707822002,0.335
1707825603,0.34
1707829202,0.34
1707832802,0.34
1707836403,0.325
1707840002,0.325
1707843602,0.325
1707847202,0.325
1707850802,0.325
1707854403,0.325
1707858002,0.325
1707861602,0.325
1707865203,0.325
1707868803,0.325
1707872403,0.355
1707876002,0.36
1707879603,0.36
1707883202,0.36
1707886803,0.35
1707890402,0.345
1707894002,0.345
1707897603,0.345
1707901202,0.36
1707904802,0.36
1707908402,0.365
1707912002,0.365
1707915603,0.365
1707919203,0.365
1707922803,0.365
1707926403,0.365
1707930003,0.365
1707933602,0.365
1707937202,0.365
1707940802,0.365
1707944402,0.365
1707948003,0.365
1707951602,0.365
1707955203,0.365
1707958803,0.37
1707962402,0.365
1707966002,0.365
1707969603,0.365
1707973203,0.37
1707976802,0.37
1707980402,0.37
1707984003,0.375
1707987603,0.375
1707991203,0.375
1707994802,0.38
1707998403,0.38
1708002002,0.38
1708005603,0.38
1708009203,0.385
1708012802,0.385
1708016403,0.385
1708020002,0.385
1708023603,0.385
1708027202,0.385
1708030803,0.385
1708034402,0.385
1708038002,0.385
1708041603,0.385
1708045202,0.385
1708048802,0.385
1708052403,0.385
1708056003,0.4
1708059603,0.4
1708063203,0.4
1708066802,0.385
1708070402,0.385
1708074003,0.375
1708077603,0.375
1708081203,0.375
1708084802,0.375
1708088402,0.375
1708092002,0.375
1708095602,0.375
1708099202,0.375
1708102802,0.375
1708106402,0.385
1708110003,0.385
1708113602,0.385
1708117202,0.385
1708120803,0.385
1708124402,0.385
1708128002,0.385
1708131602,0.385
1708135202,0.39
1708138802,0.39
1708142402,0.385
1708146002,0.385
1708149602,0.385
1708153202,0.385
1708156802,0.385
1708160402,0.385
1708164002,0.385
1708167602,0.385
1708171202,0.385
1708174802,0.385
1708178402,0.385
1708182002,0.385
1708185602,0.385
1708189202,0.385
1708192802,0.385
1708196402,0.395
1708200003,0.4
1708203602,0.4
1708207202,0.41
1708210802,0.41
1708214402,0.41
1708218002,0.41
1708221602,0.41
1708225202,0.41
1708228802,0.41
1708232402,0.415
1708236002,0.415
1708239602,0.415
1708243202,0.41
1708246802,0.41
1708250402,0.415
1708254003,0.44
1708257603,0.445
1708261202,0.445
1708264802,0.45
1708268402,0.445
1708272002,0.445
1708275602,0.445
1708279202,0.445
1708282802,0.445
1708286402,0.445
1708290003,0.435
1708293602,0.435
1708297202,0.435
1708300802,0.425
1708304402,0.435
1708308002,0.435
1708311602,0.435
1708315202,0.43
1708318802,0.425
1708322402,0.43
1708326002,0.43
1708329602,0.43
1708333202,0.43
1708336802,0.43
1708340402,0.435
1708344002,0.435
1708347602,0.435
1708351202,0.435
1708354802,0.435
1708358403,0.435
1708362003,0.45
1708365602,0.455
1708369202,0.455
1708372802,0.455
1708376402,0.45
1708380002,0.45
1708383602,0.45
1708387202,0.45
1708390802,0.45
1708394402,0.45
1708398002,0.435
1708401602,0.435
1708405202,0.435
1708408802,0.435
1708412402,0.435
1708416002,0.435
1708419602,0.435
1708423202,0.435
1708426802,0.44
1708430402,0.45
1708434002,0.45
1708437602,0.45
1708441203,0.45
1708444803,0.45
1708448403,0.44
1708452003,0.44
1708455603,0.44
1708459202,0.44
1708462802,0.44
1708466403,0.445
1708470003,0.445
1708473603,0.45
1708477203,0.435
1708480803,0.435
1708484403,0.435
1708488003,0.435
1708491603,0.435
1708495202,0.435
1708498803,0.435
1708502403,0.435
1708506003,0.435
1708509602,0.435
1708513203,0.435
1708516803,0.435
1708520403,0.435
1708524003,0.435
1708527602,0.435
1708531202,0.435
1708534802,0.435
1708538402,0.435
1708542002,0.435
1708545603,0.435
1708549203,0.44
1708552803,0.44
1708556403,0.44
1708560002,0.45
1708563602,0.445
1708567202,0.45
1708570803,0.45
1708574402,0.445
1708578002,0.445
1708581602,0.445
1708585203,0.445
1708588802,0.465
1708592403,0.46
1708596002,0.46
1708599603,0.46
1708603203,0.46
1708606803,0.46
1708610402,0.465
1708614003,0.465
1708617602,0.465
1708621203,0.465
1708624802,0.465
1708628403,0.485
1708632002,0.495
1708635603,0.48
1708639202,0.485
1708642803,0.485
1708646402,0.485
1708650003,0.485
1708653602,0.485
1708657203,0.485
1708660802,0.485
1708664403,0.485
1708668002,0.485
1708671603,0.485
1708675203,0.485
1708678803,0.49
1708682402,0.485
1708686003,0.485
1708689603,0.485
1708693203,0.485
1708696803,0.485
1708700403,0.485
1708704002,0.47
1708707603,0.475
1708711202,0.48
1708714803,0.48
1708718403,0.48
1708722003,0.48
1708725603,0.48
1708729203,0.48
1708732802,0.48
1708736402,0.48
1708740002,0.48
1708743602,0.48
1708747202,0.48
1708750803,0.48
1708754402,0.48
1708758002,0.475
1708761603,0.475
1708765202,0.475
1708768803,0.51
1708772402,0.51
1708776003,0.525
1708779603,0.515
1708783202,0.5
1708786802,0.485
1708790402,0.475
1708794003,0.46
1708797602,0.47
1708801202,0.47
1708804802,0.465
1708808402,0.465
1708812002,0.465
1708815603,0.465
1708819202,0.465
1708822802,0.465
1708826403,0.465
1708830002,0.47
1708833603,0.465
1708837203,0.465
1708840803,0.475
1708844402,0.475
1708848002,0.48
1708851602,0.485
1708855203,0.485
1708858802,0.485
1708862402,0.48
1708866002,0.48
1708869602,0.48
1708873203,0.48
1708876802,0.48
1708880402,0.48
1708884002,0.48
1708887602,0.48
1708891202,0.48
1708894802,0.48
1708898402,0.48
1708902002,0.48
1708905602,0.48
1708909202,0.53
1708912802,0.48
1708916402,0.49
1708920003,0.495
1708923602,0.495
1708927202,0.495
1708930802,0.495
1708934402,0.495
1708938003,0.495
1708941602,0.495
1708945203,0.495
1708948803,0.495
1708952402,0.495
1708956003,0.49
1708959602,0.485
1708963202,0.49
1708966803,0.5
1708970402,0.5
1708974002,0.525
1708977602,0.53
1708981203,0.485
1708984802,0.505
1708988402,0.495
1708992002,0.49
1708995602,0.49
1708999202,0.485
1709002803,0.51
1709006402,0.51
1709010002,0.51
1709013602,0.51
1709017202,0.515
1709020802,0.515
1709024403,0.515
1709028002,0.515
1709031603,0.515
1709035202,0.525
1709038803,0.55
1709042402,0.515
1709046002,0.505
1709049602,0.505
1709053203,0.505
1709056802,0.5
1709060403,0.5
1709064003,0.5
1709067603,0.5
1709071203,0.49
1709074803,0.555
1709078403,0.535
1709082003,0.51
1709085603,0.51
1709089203,0.505
1709092803,0.505
1709096403,0.505
1709100003,0.51
1709103603,0.51
1709107203,0.51
1709110803,0.51
1709114403,0.525
1709118003,0.535
1709121603,0.535
1709125203,0.54
1709128803,0.54
1709132403,0.54
1709136003,0.545
1709139603,0.585
1709143203,0.56
1709146803,0.545
1709150403,0.555
1709154003,0.57
1709157603,0.57
1709161203,0.605
1709164802,0.6
1709168403,0.595
1709172003,0.575
1709175603,0.595
1709179203,0.595
1709182802,0.595
1709186402,0.595
1709190002,0.585
1709193603,0.585
1709197203,0.585
1709200802,0.585
1709204403,0.595
1709208002,0.61
1709211602,0.625
1709215202,0.63
1709218803,0.77
1709222403,0.72
1709226003,0.68
1709229603,0.645
1709233203,0.645
1709236803,0.645
1709240403,0.645
1709244002,0.65
1709247603,0.635
1709251202,0.635
1709254803,0.635
1709258402,0.635
1709262003,0.635
1709265602,0.635
1709269203,0.635
1709272802,0.635
1709276403,0.635
1709280002,0.635
1709283603,0.635
1709287202,0.635
1709290803,0.635
1709294402,0.635
1709298002,0.635
1709301602,0.635
1709305203,0.635
1709308802,0.63
1709312403,0.63
1709316003,0.62
1709319603,0.62
1709323202,0.62
1709326803,0.62
1709330403,0.62
1709334003,0.62
1709337603,0.62
1709341203,0.62
1709344803,0.62
1709348403,0.62
1709352003,0.62
1709355603,0.62
1709359203,0.62
1709362803,0.62
1709366403,0.62
1709370003,0.62
1709373603,0.62
1709377203,0.62
1709380803,0.635
1709384403,0.635
1709388003,0.635
1709391603,0.635
1709395203,0.635
1709398803,0.635
1709402403,0.635
1709406003,0.635
1709409603,0.635
1709413202,0.635
1709416803,0.64
1709420403,0.64
1709424003,0.64
1709427603,0.64
1709431203,0.64
1709434803,0.64
1709438403,0.64
1709442003,0.64
1709445603,0.635
1709449203,0.635
1709452803,0.63
1709456402,0.63
1709460003,0.63
1709463603,0.63
1709467203,0.625
1709470803,0.625
1709474403,0.63
1709478003,0.635
1709481603,0.635
1709485204,0.635
1709488802,0.635
1709492404,0.64
1709496003,0.67
1709499603,0.66
1709503203,0.66
1709506803,0.66
1709510403,0.66
1709514003,0.655
1709517603,0.655
1709521203,0.655
1709524803,0.605
1709528403,0.61
1709532003,0.595
1709535603,0.66
1709539203,0.645
1709542803,0.665
1709546403,0.71
1709550004,0.755
1709553603,0.695
1709557203,0.71
1709560803,0.71
1709564403,0.75
1709568002,0.74
1709571603,0.77
1709575203,0.755
1709578803,0.765
1709582403,0.76
1709586003,0.78
1709589603,0.725
1709593203,0.725
1709596803,0.725
1709600403,0.725
1709604002,0.725
1709607603,0.705
1709611203,0.705
1709614803,0.705
1709618403,0.725
1709622003,0.725
1709625603,0.725
1709629203,0.72
1709632803,0.725
1709636403,0.72
1709640003,0.72
1709643603,0.72
1709647203,0.72
1709650803,0.72
1709654403,0.7
1709658003,0.66
1709661603,0.705
1709665203,0.68
1709668803,0.665
1709672403,0.645
1709676003,0.655
1709679603,0.65
1709683203,0.66
1709686803,0.68
1709690403,0.675
1709694003,0.675
1709697602,0.665
1709701203,0.665
1709704803,0.665
1709708403,0.665
1709712003,0.665
1709715603,0.685
1709719203,0.71
1709722803,0.705
1709726403,0.71
1709730003,0.715
1709733602,0.715
1709737203,0.71
1709740803,0.71
1709744403,0.74
1709748002,0.735
1709751603,0.74
1709755203,0.745
1709758803,0.74
1709762403,0.735
1709766002,0.735
1709769602,0.735
1709773203,0.735
1709776802,0.73
1709780402,0.725
1709784003,0.705
1709787603,0.725
1709791203,0.715
1709794803,0.715
1709798403,0.7
1709802002,0.7
1709805603,0.7
1709809203,0.72
1709812803,0.705
1709816403,0.705
1709820003,0.72
1709823603,0.725
1709827202,0.725
1709830802,0.73
1709834403,0.74
1709838003,0.745
1709841603,0.745
1709845202,0.745
1709848803,0.745
1709852402,0.73
1709856002,0.735
1709859602,0.745
1709863203,0.745
1709866803,0.745
1709870403,0.745
1709874003,0.745
1709877603,0.74
1709881203,0.74
1709884803,0.74
1709888403,0.745
1709892002,0.745
1709895603,0.745
1709899203,0.75
1709902803,0.75
1709906403,0.795
1709910003,0.795
1709913602,0.795
1709917203,0.795
1709920803,0.79
1709924403,0.79
1709928003,0.79
1709931603,0.79
1709935203,0.79
1709938803,0.78
1709942403,0.78
1709946003,0.78
1709949603,0.78
1709953203,0.78
1709956803,0.78
1709960403,0.78
1709964002,0.78
1709967603,0.78
1709971202,0.785
1709974803,0.785
1709978402,0.785
1709982003,0.785
1709985603,0.785
1709989203,0.785
1709992802,0.785
1709996403,0.785
1710000003,0.785
1710003603,0.785
1710007203,0.785
1710010803,0.785
1710014403,0.785
1710018003,0.785
1710021602,0.785
1710025203,0.785
1710028802,0.785
1710032403,0.785
1710036002,0.79
1710039603,0.79
1710043202,0.79
1710046803,0.79
1710050402,0.795
1710054003,0.795
1710057603,0.795
1710061202,0.8
1710064802,0.805
1710068402,0.81
1710072003,0.81
1710075602,0.805
1710079202,0.805
1710082802,0.805
1710086402,0.805
1710090002,0.805
1710093602,0.805
1710097203,0.805
1710100803,0.805
1710104402,0.805
1710108002,0.795
1710111602,0.795
1710115202,0.795
1710118802,0.79
1710122402,0.79
1710126002,0.785
1710129603,0.785
1710133202,0.785
1710136802,0.785
1710140402,0.785
1710144002,0.785
1710147602,0.785
1710151202,0.785
1710154802,0.785
1710158402,0.79
1710162002,0.78
1710165602,0.78
1710169202,0.78
1710172803,0.785
1710176402,0.795
1710180002,0.795
1710183602,0.795
1710187202,0.795
1710190802,0.78
1710194402,0.785
1710198002,0.785
1710201602,0.785
1710205202,0.785
1710208802,0.795
1710212402,0.795
1710216002,0.795
1710219602,0.795
1710223203,0.79
1710226802,0.79
1710230402,0.79
1710234003,0.79
1710237603,0.79
1710241203,0.795
1710244802,0.79
1710248402,0.79
1710252003,0.79
1710255602,0.79
1710259202,0.775
1710262802,0.77
1710266403,0.765
1710270003,0.765
1710273603,0.765
1710277203,0.76
1710280802,0.76
1710284403,0.76
1710288003,0.76
1710291602,0.76
1710295203,0.76
1710298803,0.77
1710302402,0.77
1710306003,0.77
1710309603,0.77
1710313203,0.76
1710316803,0.76
1710320403,0.76
1710324002,0.76
1710327602,0.76
1710331203,0.76
1710334803,0.76
1710338403,0.76
1710342003,0.76
1710345602,0.765
1710349202,0.76
1710352802,0.76
1710356402,0.76
1710360003,0.76
1710363602,0.76
1710367203,0.76
1710370803,0.76
1710374403,0.76
1710378002,0.76
1710381603,0.76
1710385202,0.76
1710388802,0.76
1710392403,0.76
1710396002,0.76
1710399603,0.76
1710403202,0.75
1710406803,0.75
1710410402,0.74
1710414003,0.74
1710417602,0.745
1710421203,0.725
1710424803,0.72
1710428403,0.715
1710432003,0.715
1710435603,0.715
1710439203,0.715
1710442803,0.71
1710446403,0.71
1710450003,0.71
1710453603,0.71
1710457203,0.71
1710460803,0.71
1710464403,0.71
1710468003,0.71
1710471603,0.71
1710475203,0.71
1710478803,0.71
1710482403,0.71
1710486003,0.71
1710489603,0.71
1710493203,0.71
1710496803,0.71
1710500403,0.71
1710504003,0.71
1710507603,0.71
1710511203,0.71
1710514803,0.675
1710518403,0.655
1710522003,0.655
1710525602,0.62
1710529203,0.665
1710532802,0.675
1710536403,0.655
1710540003,0.66
1710543603,0.67
1710547202,0.67
1710550803,0.67
1710554403,0.66
1710558002,0.66
1710561603,0.665
1710565202,0.665
1710568802,0.66
1710572403,0.665
1710576003,0.665
1710579603,0.66
1710583203,0.66
1710586803,0.66
1710590403,0.66
1710594002,0.66
1710597603,0.66
1710601203,0.66
1710604803,0.655
1710608403,0.655
1710612002,0.655
1710615603,0.655
1710619203,0.655
1710622802,0.655
1710626403,0.66
1710630003,0.66
1710633603,0.65
1710637203,0.65
1710640803,0.65
1710644403,0.65
1710648003,0.645
1710651603,0.645
1710655203,0.645
1710658803,0.645
1710662403,0.645
1710666003,0.645
1710669603,0.645
1710673203,0.645
1710676803,0.645
1710680403,0.645
1710684003,0.645
1710687603,0.645
1710691203,0.64
1710694803,0.64
1710698403,0.635
1710702003,0.635
1710705603,0.635
1710709202,0.635
1710712803,0.635
1710716403,0.635
1710720003,0.635
