time,price
1711040404,0.27
1711044003,0.325
1711047603,0.28
1711051203,0.28
1711054802,0.28
1711058403,0.28
1711062003,0.28
1711065602,0.28
1711069203,0.3
1711072803,0.325
1711076403,0.32
1711080002,0.32
1711083603,0.32
1711087203,0.32
1711090803,0.32
1711094403,0.315
1711098003,0.315
1711101603,0.32
1711105203,0.32
1711108803,0.32
1711112403,0.32
1711116003,0.32
1711119603,0.31
1711123203,0.305
1711126803,0.3
1711130403,0.31
1711134003,0.31
1711137602,0.31
1711141203,0.31
1711144802,0.31
1711148403,0.315
1711152003,0.315
1711155603,0.315
1711159203,0.315
1711162803,0.315
1711166403,0.315
1711170003,0.315
1711173603,0.315
1711177203,0.315
1711180803,0.315
1711184403,0.315
1711188003,0.315
1711191603,0.315
1711195203,0.315
1711198803,0.315
1711202403,0.315
1711206002,0.315
1711209603,0.315
1711213202,0.315
1711216803,0.315
1711220403,0.315
1711224003,0.315
1711227603,0.315
1711231203,0.315
1711234803,0.315
1711238403,0.315
1711242003,0.315
1711245603,0.315
1711249203,0.315
1711252803,0.315
1711256403,0.315
1711260003,0.315
1711263603,0.315
1711267203,0.315
1711270803,0.315
1711274403,0.315
1711278003,0.315
1711281603,0.315
1711285203,0.315
1711288803,0.315
1711292403,0.315
1711296003,0.315
1711299603,0.315
1711303203,0.315
1711306803,0.315
1711310402,0.315
1711314003,0.315
1711317603,0.31
1711321203,0.32
1711324803,0.32
1711328403,0.33
1711332002,0.33
1711335603,0.33
1711339202,0.33
1711342803,0.33
1711346403,0.33
1711350003,0.33
1711353602,0.33
1711357203,0.33
1711360803,0.33
1711364403,0.33
1711368003,0.33
1711371603,0.33
1711375202,0.33
1711378803,0.33
1711382403,0.33
1711386003,0.335
1711389602,0.335
1711393203,0.335
1711396803,0.335
1711400403,0.335
1711404002,0.325
1711407602,0.325
1711411202,0.325
1711414802,0.325
1711418403,0.325
1711422002,0.335
1711425603,0.335
1711429202,0.335
1711432802,0.335
1711436403,0.335
1711440003,0.335
1711443603,0.335
1711447203,0.335
1711450802,0.335
1711454402,0.335
1711458003,0.335
1711461603,0.335
1711465203,0.335
1711468803,0.335
1711472402,0.335
1711476003,0.335
1711479603,0.335
1711483203,0.335
1711486803,0.335
1711490403,0.335
1711494003,0.335
1711497603,0.335
1711501203,0.335
1711504803,0.335
1711508403,0.335
1711512003,0.335
1711515603,0.335
1711519203,0.335
1711522802,0.335
1711526403,0.335
1711530003,0.335
1711533603,0.335
1711537203,0.335
1711540803,0.335
1711544403,0.335
1711548003,0.335
1711551603,0.33
1711555203,0.33
1711558803,0.33
1711562402,0.33
1711566002,0.33
1711569603,0.33
1711573202,0.33
1711576802,0.33
1711580402,0.33
1711584003,0.33
1711587602,0.33
1711591202,0.33
1711594803,0.33
1711598402,0.33
1711602002,0.33
1711605603,0.33
1711609203,0.33
1711612803,0.33
1711616403,0.33
1711620003,0.33
1711623603,0.33
1711627202,0.33
1711630803,0.33
1711634402,0.33
1711638003,0.33
1711641602,0.33
1711645203,0.33
1711648803,0.33
1711652403,0.33
1711656003,0.33
1711659602,0.33
1711663202,0.33
1711666803,0.33
1711670402,0.33
1711674002,0.33
1711677602,0.32
1711681203,0.32
1711684802,0.32
1711688403,0.32
1711692002,0.32
1711695602,0.32
1711699203,0.32
1711702802,0.32
1711706402,0.32
1711710003,0.32
1711713602,0.32
1711717203,0.32
1711720803,0.32
1711724403,0.33
1711728002,0.33
1711731603,0.33
1711735203,0.33
1711738803,0.33
1711742403,0.33
1711746002,0.33
1711749602,0.33
1711753202,0.33
1711756802,0.33
1711760402,0.33
1711764002,0.33
1711767603,0.33
1711771202,0.33
1711774803,0.33
1711778402,0.33
1711782002,0.345
1711785603,0.345
1711789203,0.345
1711792803,0.345
1711796403,0.345
1711800002,0.345
1711803602,0.345
1711807202,0.345
1711810803,0.345
1711814402,0.345
1711818002,0.345
1711821602,0.345
1711825203,0.345
1711828803,0.345
1711832403,0.345
1711836003,0.345
1711839603,0.345
1711843203,0.345
1711846803,0.345
1711850403,0.345
1711854003,0.345
1711857602,0.345
1711861202,0.345
1711864803,0.345
1711868403,0.345
1711872003,0.345
1711875602,0.345
1711879202,0.345
1711882803,0.345
1711886403,0.345
1711890003,0.345
1711893602,0.33
1711897203,0.33
1711900802,0.33
1711904403,0.33
1711908003,0.33
1711911603,0.33
1711915203,0.33
1711918803,0.33
1711922402,0.33
1711926003,0.33
1711929602,0.33
1711933203,0.33
1711936803,0.33
1711940403,0.33
1711944002,0.33
1711947603,0.33
1711951203,0.33
1711954803,0.33
1711958403,0.33
1711962003,0.33
1711965603,0.33
1711969203,0.33
1711972803,0.33
1711976403,0.33
1711980003,0.33
1711983603,0.33
1711987203,0.325
1711990803,0.325
1711994403,0.325
1711998003,0.325
1712001603,0.325
1712005203,0.325
1712008803,0.325
1712012403,0.325
1712016003,0.325
1712019603,0.325
1712023203,0.325
1712026803,0.325
1712030403,0.325
1712034003,0.325
1712037603,0.325
1712041203,0.325
1712044803,0.325
1712048403,0.325
1712052003,0.325
1712055603,0.325
1712059203,0.325
1712062803,0.32
1712066403,0.32
1712070003,0.32
1712073603,0.32
1712077203,0.32
1712080803,0.32
1712084403,0.32
1712088003,0.32
1712091603,0.32
1712095203,0.32
1712098803,0.32
1712102403,0.32
1712106003,0.32
1712109603,0.32
1712113203,0.32
1712116803,0.32
1712120403,0.32
1712124004,0.32
1712127603,0.32
1712131204,0.32
1712134804,0.32
1712138404,0.32
1712142004,0.32
1712145604,0.32
1712149204,0.32
1712152804,0.32
