time,midpoint,ask,bid,inventory,profit
2024-10-25 04:50:02,0.27,0.27001942430500003,0.269980575695,0,0.0
2024-10-25 05:00:03,0.265,0.26498103219599595,0.2649430961879879,1,-0.269980575695
2024-10-25 05:10:02,0.265,0.2649810329398209,0.2649430984194626,1,-0.26994263968699195
2024-10-25 05:20:02,0.265,0.2649810336848876,0.2649431006546627,1,-0.2699047051666337
2024-10-25 05:30:02,0.265,0.26498103442995424,0.2649431028898628,1,-0.26986677213640875
2024-10-25 05:40:02,0.265,0.2649810351750209,0.2649431051250628,1,-0.2698288405963173
2024-10-25 05:50:03,0.265,0.26498103592132943,0.26494310736398824,1,-0.2697909105463592
2024-10-25 06:00:03,0.265,0.2649810366663961,0.26494310959918826,1,-0.269752981989018
2024-10-25 06:10:02,0.265,0.26498103741022105,0.264943111830663,1,-0.26971505492181014
2024-10-25 06:20:02,0.265,0.2649810381552877,0.2649431140658631,1,-0.2696771293422521
2024-10-25 06:30:02,0.26,0.25998149849007446,0.2599444950702232,1,-0.2696392052528275
2024-10-25 06:40:02,0.26,0.25998149921708186,0.2599444972512455,1,-0.26960220183297623
2024-10-25 06:50:02,0.26,0.2599814999440893,0.2599444994322679,1,-0.2695651998671399
2024-10-25 07:00:02,0.26,0.2599815006710967,0.2599445016132902,1,-0.26952819935531847
2024-10-25 07:10:02,0.26,0.2599815013981042,0.2599445037943125,1,-0.26949120029751195
2024-10-25 07:20:02,0.26,0.2599815021251116,0.2599445059753348,1,-0.2694542026937202
2024-10-25 07:30:02,0.26,0.2599815028521191,0.25994450815635717,1,-0.2694172065439434
2024-10-25 07:40:02,0.26,0.25998150357912647,0.2599445103373795,1,-0.2693802118481815
2024-10-25 07:50:02,0.26,0.259981504306134,0.2599445125184018,1,-0.2693432186064345
2024-10-25 08:00:02,0.26,0.2599815050331414,0.2599445146994241,1,-0.2693062268187023
2024-10-25 08:10:02,0.26,0.25998150576014883,0.25994451688044645,1,-0.269269236484985
2024-10-25 08:20:02,0.26,0.25998150648715623,0.25994451906146876,1,-0.26923224760528264
2024-10-25 08:30:02,0.26,0.25998150721416374,0.25994452124249107,1,-0.26919526017959516
2024-10-25 08:40:02,0.26,0.25998150794117114,0.2599445234235134,1,-0.2691582742079225
2024-10-25 08:50:02,0.26,0.2599815086681786,0.25994452560453574,1,-0.2691212896902647
